who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,strategies,best-strategy,attend?,prediction
20,9.9,12,-18,-17,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.6974580735253177 0.6872761491722081 0.4406656082531315 -0.9015623898753646 0.6437186642182022 -0.425763626828237] [-0.28637899279711276 -0.9155218831053085 -0.27340508122649965 0.12107044640627684 -0.438190775377979 -0.42212357717210836] [-0.20936635850404817 0.5194410034879562 -0.5561536275256154 0.07959528172300101 0.4216665643030959 0.05479753773658902] [0.8593424336443258 0.7566424632035857 -0.22552305693736008 0.29758379488839193 0.718881535578491 0.35232480952302114] [0.9666476620812507 0.19099445485868194 0.4594946329712102 -0.5787435906218605 0.2834335653623563 0.18117570124949078] [-0.6631988299805358 -0.7390659262327779 0.9336851006933014 0.03889056864948981 -0.40253939628319535 -0.8112205715332574] [0.4290654640738081 0.3616638068537039 0.0024750697893980433 0.24527748199736354 -0.8539787898687432 0.12667675092070407] [0.04102960610084283 0.13649045537411109 0.0046092333981657685 0.025578485952568286 0.49311246009431664 0.3585955960570648] [-0.6595246738449294 -0.48243949123316 -0.9888102617803698 0.027048943739262254 0.6856789512792771 -0.07621401125965299] [0.9014419994155072 0.8292121692641441 -0.29662337326511334 -0.9115387194414675 -0.724990487270039 0.7130389624927129]],[0.04102960610084283 0.13649045537411109 0.0046092333981657685 0.025578485952568286 0.49311246009431664 0.3585955960570648],0,80.12993419748028
21,9.9,187,-6,20,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.3967889370755704 0.37424938478055036 0.15558076005493326 -0.07245289229716967 0.5352575014849312 -0.3526042245996981] [-0.33975864164341396 0.7734777733291811 0.07317897359497283 0.8349584464253734 -0.0203564577814368 0.35911328343744175] [0.5082735332608446 0.8888499773156084 -0.6930108385546094 0.3759644089111993 0.6977126281786912 -0.518294320873754] [0.643606136616512 -0.04746317437919023 0.6522290096827974 -0.7666423893913485 0.8775866342182628 0.3007783307593541] [0.4871711247366315 -0.24907598400071307 0.6562033186966365 0.19071565978384553 -0.6499480967249389 -0.14527925680288933] [0.9644862087821742 0.9165306199104313 -0.018867581854299154 -0.40324541764554933 0.17785403322223448 0.7861951174301565] [0.12034137091428376 -0.9353735071826006 0.7964099156041595 -0.8179744811032188 -0.741382294981626 -0.6956425606554464] [0.9112002977380753 0.9131311468642422 0.16469622817252638 0.7298353209046771 -0.3610695080372761 -0.9347095023704024] [-0.41690692094574433 0.4537891818537294 -0.2814090164976313 0.5765152821661095 -0.5613477029941656 0.35545600708887326] [0.9814951316295095 -0.13703258011761266 -0.1100263017136689 -0.607478460635605 0.31956282416850956 0.8637130839311462]],[0.3967889370755704 0.37424938478055036 0.15558076005493326 -0.07245289229716967 0.5352575014849312 -0.3526042245996981],0,174.04950592263646
22,9.9,353,-4,-21,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.616817692339696 -0.5720404471845182 0.37328372749564753 -0.4726518523918095 -0.3558430877599934 -0.7240946828443835] [0.14218448060989264 0.17031964675879685 -0.7693994988797954 -0.7858338082934482 0.33355605088777707 -0.3886560007130202] [-0.7649340588608875 -0.5063646822635464 -0.5526036072250802 0.4312996089631542 0.5740853402207622 0.06632691135809266] [-0.5971729889777593 0.5045237789505439 0.5413766841451975 0.6718798681146578 -0.5634595987849329 0.4169854826374766] [-0.5067769843707364 0.7052466334507843 0.5557720468382754 -0.8512579719415452 0.4890467924431221 -0.09262522921848193] [0.36050299048817336 -0.8965811322719828 -0.04611976395377093 0.461881324191181 -0.3356298322029536 -0.22441335327783363] [0.7686685550943779 -0.6921321528035418 -0.2837193002883498 0.018684631356463033 -0.604874407355412 -0.8178460392736053] [0.8161355651962208 0.41317721195435997 -0.5212344686263739 0.0359060936466058 -0.07284804951730961 -0.9551097567072633] [-0.4184767437611123 0.2623326863971216 0.6888446235107843 -0.09071386207893828 0.524817893464743 0.5878537677574713] [-0.6421900264996752 -0.7205117911013661 -0.10704453151600224 0.6823630474099511 0.9477090987284369 0.6816651651778667]],[-0.4184767437611123 0.2623326863971216 0.6888446235107843 -0.09071386207893828 0.524817893464743 0.5878537677574713],0,68.64253864774783
23,9.9,132,-6,9,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.7699311240751945 0.9742107252016732 0.6418360577660154 -0.7170620392407743 0.8565030598716503 -0.23347082246792672] [-0.038914465948304056 0.11918766414192583 -0.6562610471984616 0.2610811464439995 -0.14989869861509142 0.6708437866741133] [-0.4803990037951247 0.013228186850369639 -0.15100698769630738 0.2400303595189741 0.9402009138744092 0.971125110204643] [-0.9432901259373148 -0.23256690295832128 0.3535021091201127 0.5193838366347934 0.3123472328781971 0.16405516817638577] [0.8854701447927127 0.6354234275942638 0.2989366815466179 0.13067831710118605 0.26610161425680223 0.5494569384395223] [-0.891963101073336 -0.5883208883161997 0.3003317191604671 0.31132601168400575 0.11830249227562906 -0.8993351133805492] [-0.22723494755200924 -0.06094948478858342 0.7772436108001699 -0.7541554039683402 0.9262700074433083 0.18845561592048687] [0.2534068084980803 0.24685212457522598 -0.6691440823436423 -0.9347528710227038 0.21896335709362003 0.18059253375698425] [0.45695452280644 -0.6405189955878379 0.9519660352802488 0.9220389060547118 -0.9737575868822097 0.026141245598539697] [0.8002513023242526 0.13255668682795685 -0.6166254835547189 0.3085287364144891 0.969152298839915 -0.6266982395679475]],[-0.22723494755200924 -0.06094948478858342 0.7772436108001699 -0.7541554039683402 0.9262700074433083 0.18845561592048687],0,124.46926267663525
24,9.9,147,1,-18,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.40193486332935735 -0.8119957312289856 -0.1479951145650431 0.46689435341582564 0.47399936375235385 -0.1111888170767561] [0.7519019055493608 0.47980604381375347 0.6699087165912578 -0.41652361714292385 -0.7978332684019558 -0.9696457832674781] [0.9434019874840818 -0.5982718823858548 -0.597571890623976 -0.4058132557692611 0.7648065581869465 0.7417559649008547] [0.7414013041790781 -0.2850999432115333 0.6817534640426295 0.555695881414056 0.29664253772366855 0.47898933072534167] [-0.49346894821075327 -0.272269886388133 0.2473672897628707 0.547082736854031 -0.9260402685377502 0.343875328664208] [0.07967332815034767 -0.0661195023961576 -0.937156284224484 0.41239582062078983 -0.34491073532163585 -0.5281078565691582] [-0.7507092791523047 0.5753548043361119 0.12483956476775893 0.7909055802579514 -0.9243877639123264 -0.17430542602401045] [-0.7007717883071236 -0.009351970672223597 -0.9868421875361773 -0.6116288967740147 0.30470873286305267 -0.6861888528959494] [-0.627731370028177 -0.6591538033491218 -0.9137497545193358 -0.5319072036585482 0.5452257438505279 0.5569481329973758] [0.9125006815569983 -0.9239338819512533 -0.8789875017234443 -0.2349602983971355 0.052024477078370435 -0.26104859506012446]],[0.9434019874840818 -0.5982718823858548 -0.597571890623976 -0.4058132557692611 0.7648065581869465 0.7417559649008547],0,46.05199603300188
25,9.9,161,-22,-11,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.8503602725763 -0.763128503436544 0.3552356302051667 -0.8979527829768563 -0.0080284854042465 0.8281458114653766] [-0.450340943233952 0.8680816055447158 0.6579522107018088 0.5441668739358809 0.7887833115061567 -0.1889993215233292] [0.8866618084756028 -0.0730200521786526 0.6620405160006739 -0.024223217279383702 0.6765089470799466 -0.3048502212224089] [-0.1672574064156218 -0.3011969988786758 -0.7591938187915448 0.9624819038458232 0.9678499095983353 -0.25996545836176277] [-0.7466869443645487 -0.9716238173859795 -0.39608250600409334 -0.8468775233841837 0.7964457358090324 -0.9492216130337967] [-0.002976997146651339 -0.7630917764212433 -0.6010049776912489 0.49010381358579513 0.06700317670205891 -0.16546247471599473] [-0.156192514865797 0.9893935991027445 -0.6680821823414353 0.650460838919007 0.20066749459563948 0.5595608321632388] [-0.8843478242326073 0.8031237668421405 -0.005957355053624935 0.5102027679067078 -0.5677101168014644 0.8768260469818148] [0.7022304742719336 -0.7610074568668344 -0.38488969086759295 -0.6845219886585108 0.7476479713733528 -0.5619891389583889] [-0.3235296774004617 -0.3140865444691241 -0.7444273999470181 -0.31615284484562145 0.6428215723114141 0.7317552262532139]],[-0.156192514865797 0.9893935991027445 -0.6680821823414353 0.650460838919007 0.20066749459563948 0.5595608321632388],0,62.660239756784975
26,9.9,218,-24,-7,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.9098923547216318 -0.24914400307610274 0.9963778417209554 0.6312436707597409 0.36818360757525115 -0.3296399584388163] [-0.5963910413084987 -0.4395729852000798 -0.9621864988738371 -0.6871320520741757 -0.26211080274695364 -0.3251628579175754] [-0.6784272235329101 0.3180149111811652 0.04194757874297772 0.5548603401317025 -0.23878037218398473 -0.738927124725216] [-0.41227328725692636 -0.5832279513115568 -0.29743729903875615 0.5873121996237587 0.5351488502420156 0.7084617367925532] [-0.24439392786167824 0.6920133525487531 -0.13321611421578794 -0.45471395087121924 0.5201719227587123 -0.705415743028053] [-0.34895717864978026 -0.768643630393324 -0.5154526623739217 0.670172075587049 0.08766437072324917 0.6035901339292671] [0.7464091564898876 -0.0713489379928487 0.4643544466300409 0.8333807114775711 -0.15211250825783873 -0.13844411272775292] [-0.17513858650197878 0.7351468328808881 0.6646808377621829 -0.10956280738974944 0.42233522708943916 -0.24727103145150386] [0.2047882097485445 0.8802254180140936 0.5625210685563311 -0.4715539345610469 -0.04661497564358141 -0.08459925209463348] [-0.8751382815674214 0.44626621714265013 -0.6170598486177581 -0.3541906523329903 -0.8879635559857231 0.876317094892854]],[0.2047882097485445 0.8802254180140936 0.5625210685563311 -0.4715539345610469 -0.04661497564358141 -0.08459925209463348],0,-95.42658380656825
27,9.9,236,-10,7,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.8799397164588272 -0.14415809744021524 0.43951121660914505 0.7497548861996048 0.9604883604615237 0.66421631413933] [-0.4549089750241586 0.8236550958379096 0.36822379086139523 -0.4590714124489039 -0.21374983332751096 0.6496671215586034] [-0.5909067979416889 0.10893143640729619 -0.328337608036672 -0.9983789868601536 -0.0528387551086571 0.6386391770729762] [0.4886308195730451 0.18192870253728288 0.9146359567302227 0.34416902866612387 -0.2271958488787882 0.7107089574718755] [0.7357120570248681 -0.39570491341513514 -0.2781674972386887 0.8685361063177999 0.7290789828036308 0.23945969664126876] [0.4820576719379739 -0.7625090069282789 -0.7936999110744745 -0.020467911285865448 -0.4794595434989688 -0.9786030387873685] [0.5872808068577251 -0.09043188990683215 -0.7947799103647599 -0.031403747652069436 -0.5936164629289231 0.05812438695920408] [0.2880191542490047 -0.7319757517111989 0.5221467994394906 -0.5304187458027723 0.13517245521628407 -0.9328205677473538] [-0.4485472445677179 0.42007532937612124 0.6923161898859169 -0.5100097402079016 0.9238484529029325 0.7334615424884621] [0.8760562999012449 -0.2120862735061917 -0.39654189478282564 -0.7186984618429453 -0.12467357053375783 0.10843822098277744]],[-0.4485472445677179 0.42007532937612124 0.6923161898859169 -0.5100097402079016 0.9238484529029325 0.7334615424884621],0,62.10152850195023
28,9.9,131,-11,-10,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.5832980979122728 0.03783735246344855 -0.2403470764930764 0.36562987887765575 -0.40494795125229466 -0.23559258433986296] [-0.21614224903163293 0.4284564309857275 0.21088331221873258 -0.23335808879814945 -0.5811365345197883 -0.7729081514905756] [0.8184804186084507 0.4130446996794721 0.8759297750172979 -0.5288143844544904 -0.41122769449043606 0.9566586438242242] [0.743747717977254 -0.4447320384367277 -0.08253991912603653 0.1556872771612574 0.9233186382022152 0.7651922643491864] [0.9290491191832222 0.3826854886405462 -0.8324152764597217 -0.7522512459725255 0.7100296372668242 -0.21017220739343045] [-0.2802581390731187 0.5325988683676337 -0.44012581549933616 -0.9565232536787331 0.19156898245494647 0.8837982048922024] [-0.5239922612716803 -0.36171224830397075 0.7574097283021752 0.5997940184672148 -0.7696972617155529 0.26926303102780924] [-0.7936825297808032 0.357072420156916 0.9164278100214012 0.6133474968313071 0.9269163209964142 0.7826061773073072] [0.33724854943133176 -0.8759652773510165 -0.3297731807380784 -0.5834445764223621 -0.296861371907875 -0.6907197839620984] [0.8259003671903755 -0.08109840882614261 -0.2359682872994604 0.5691986271633167 0.5523292062976597 0.993127698295839]],[0.9290491191832222 0.3826854886405462 -0.8324152764597217 -0.7522512459725255 0.7100296372668242 -0.21017220739343045],0,217.80364989490914
29,9.9,127,14,-20,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.26402624503375227 0.15366087588104538 0.14205530998461202 0.6705876617403839 -0.8904207109354734 -0.9737305436282988] [0.983945428492947 -0.1734237956179152 -0.16703372503763814 -0.6268493805703843 0.616983041564036 0.7131718118769745] [-0.7892231659217084 0.44974913002640426 0.6850472294089807 0.8764340253934977 0.979701057432194 -0.13372877465873678] [0.13811154941237924 0.2864261377883941 0.6600548515559426 0.2930756961146572 0.5844622813495055 0.028035051488599416] [0.878765015051286 0.745869613185212 -0.262658233483972 0.8725666727975332 0.6920318789511213 -0.17453591185540196] [-0.8889220070923787 0.7286043813155729 -0.33439134556191297 -0.675121890275433 0.6336113076028727 0.2832087936910157] [-0.44216149039981434 -0.7483224244833404 -0.28511971985322515 0.5894662394321362 0.10049256191833589 -0.441238257593076] [0.2676582865522714 0.5802487382445425 -0.2016232154864257 0.2215789844846221 -0.4585341233946092 -0.9892234585318] [-0.043412656300252817 0.42298393709695414 0.9395900965918267 -0.16665611690149618 0.7872516276737931 -0.8934551037091938] [-0.11339174664778207 -0.06468895705385114 -0.11447079696720674 -0.08558555096019016 -0.8192683753277954 0.563406775565666]],[0.983945428492947 -0.1734237956179152 -0.16703372503763814 -0.6268493805703843 0.616983041564036 0.7131718118769745],0,-42.24946301068373
30,9.9,130,-21,25,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.7209380901913574 -0.2472118664929488 0.8093496832230056 0.24927284942784 -0.9030050197714055 -0.20880921621665038] [-0.6677735016199977 0.9284628966161284 -0.26733529184838956 -0.15412739991207203 -0.5460606180161118 0.45931318298794244] [0.7583798276867149 -0.8484679318660968 0.49015853181995306 0.7849445725131388 0.2774109025424576 -0.4793151422837223] [0.6361416671038407 0.8112184937992668 0.9622704372208875 -0.352706712840255 -0.11995501216122295 -0.4014869801162455] [0.6565245124546313 -0.7593558483240264 -0.05488370645054097 -0.5747519601776059 0.5370538669507685 0.28178735615129313] [-0.3102492099776648 0.31407647039199804 0.38601242079973486 -0.6762272438779326 -0.38471402669503196 -0.20762010511808215] [-0.3014836895273789 -0.9851379255629296 -0.9581609020368531 -0.8820426453213679 0.35168515737003725 -0.1501632678614775] [-0.18451789603046564 0.2762136377299449 0.4817753996945682 0.7574580103243616 -0.0074802766646691055 0.35319713186270785] [0.42405545679779433 -0.18516952087916239 -0.35986744451260644 -0.6656983545563686 -0.6928092633128964 0.7571327235563547] [0.9676175376221796 0.25221414569513434 -0.6044241709923219 0.20082329854720005 0.729764507593444 0.5007537393334993]],[-0.18451789603046564 0.2762136377299449 0.4817753996945682 0.7574580103243616 -0.0074802766646691055 0.35319713186270785],0,207.74358966376496
31,9.9,37,0,-20,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.20351800355587946 0.059016315191668056 0.9428986190099915 0.25379032500561705 -0.6047341942871949 -0.43607279078031036] [-0.11306656882300015 -0.8406937107857644 -0.33444811946015496 0.9056551861291109 0.6157289723982349 0.4327696059685249] [0.6994721249470415 -0.13176964660245494 -0.9731824058632721 0.17219215431552692 -0.8171518200386618 -0.13009359716007363] [-0.2310631865894739 0.7465403936318125 0.31556368664767365 0.10115576606179877 0.9165250951666237 -0.6325111341756897] [0.31829924969029944 0.11873566892254805 0.33327526888060244 -0.39064738004187216 -0.8987666658280005 -0.2320858309363485] [0.4362036054425149 0.5539239578772575 -0.06371578145739298 0.27794580490809495 -0.40716223621217495 -0.04664090279628086] [-0.22374861069498553 -0.3250306668637788 -0.8283982881048655 0.6766865922268019 -0.8849580295170563 -0.850494770028408] [-0.8208251157405355 -0.5141520461861058 0.23906366667868473 -0.04824463592772954 0.8573955041684638 0.06816994353550987] [-0.5713052327642818 -0.7872823295459876 0.2863133816068102 0.05835268371751878 0.16607292065582024 -0.15460039254577262] [-0.7466048836568442 0.9020929241339244 0.30853894344960064 -0.5067741987606902 0.7591116338697259 -0.3639056729623258]],[0.4362036054425149 0.5539239578772575 -0.06371578145739298 0.27794580490809495 -0.40716223621217495 -0.04664090279628086],0,-27.292897375130252
32,9.9,84,-23,24,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.24606560168494607 -0.030805180202777338 0.9457522843845876 0.9425554048286164 -0.277218281469243 -0.739990615206432] [0.33551968195644744 0.6002448006170715 -0.3947514200668787 0.6786475094292088 0.4369855292563092 -0.02026470468625252] [-0.73663679734455 0.5455885591668546 0.44078800315208255 -0.5472309796071233 -0.8321161071174872 0.5811950395774121] [0.6512729612749228 -0.8886202558689993 -0.45840933801997874 0.9811438079464576 -0.7225432211195619 -0.5745061430900558] [-0.6033764229013685 0.7512215133557787 0.1646968394810573 0.7798781958886798 -0.7762032442610596 0.9541179494437859] [0.554237819257908 0.6226753078204903 -0.2503948535548539 0.8499961647949115 -0.35720632489007254 -0.8843058017787617] [-0.8784525763168005 0.19352405029456432 0.8950046536039551 -0.6974554746370631 0.35832920925823086 0.7796892857104443] [-0.7913907596806358 0.12387152155922787 -0.02748384104938184 0.5007831689628548 -0.08492675458540422 0.22831867652294724] [-0.9812996720197524 -0.38944489428606244 -0.39782070089721877 0.5170598017183141 -0.7210161610927583 -0.3355441064307476] [0.7242661736038152 0.04700956929328348 0.4708972813654262 0.010518317833580593 -0.7542932249521905 -0.31491728590200396]],[0.33551968195644744 0.6002448006170715 -0.3947514200668787 0.6786475094292088 0.4369855292563092 -0.02026470468625252],0,-14.36876714618559
33,9.9,56,-7,0,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.4387115848975469 0.9665225892056541 0.015606477224058946 -0.6348654460082668 -0.7482456153997055 0.21544938194921293] [-0.7744607274422464 0.44972724237230666 0.9359739741731001 -0.25678015422030365 0.821783597458325 -0.3237873185578555] [0.3520618994259834 -0.2706160023785409 -0.26030344307997044 0.6044846788403777 -0.2476379420473298 0.5361149370304397] [-0.9182906524763801 -0.9657725148649285 -0.0524457336849693 -0.4641641112852657 -0.8206866521023872 -0.7966776338654282] [0.7760084186390264 -0.8644812715258117 0.5697111124429963 -0.3783126987468708 -0.2972079910944234 0.5918376787949913] [0.5151956415189667 -0.09271491667379927 -0.3023827513868078 -0.3495932584815906 -0.561083995848858 -0.18477948682978962] [0.46808276439719254 0.15441042512551895 0.07655975400239678 0.7537850612292332 0.9854934541320235 0.6407072095257607] [0.8293291647112095 -0.6285249398977051 0.5729440607060805 0.6004065551424813 0.9326541019716195 -0.006452059309605129] [0.9486496483875602 -0.36892775781517617 0.6057813775415402 -0.8308741512364863 0.6725164599385483 0.5719698771841757] [-0.2974004710455205 0.011010991853285912 -0.28292412353349095 0.740706294617482 0.14146170308801187 -0.9443312120534164]],[0.7760084186390264 -0.8644812715258117 0.5697111124429963 -0.3783126987468708 -0.2972079910944234 0.5918376787949913],0,-72.81247733886464
34,9.9,327,-6,-13,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.19460344674388286 0.04925232126898216 -0.08690213676682967 -0.8627085090097184 0.529566001394419 0.8155812668985851] [0.41309113611572457 0.5571452049181107 -0.3507448229077228 -0.7321816054550614 -0.3715815199090664 -0.21527180282137603] [0.9213408458442995 0.8679369725891986 -0.21724429214293206 0.014436530568135764 -0.9271599625956044 -0.3720098197825148] [0.10053399195487933 -0.4778801737537379 0.7739709261953633 0.9150406258676862 0.6808435631469434 -0.8528266647953755] [-0.41810774505915904 0.9444461984398418 -0.1432191766395936 -0.9787896593079302 -0.621573129166439 -0.188573078716342] [0.15225175043733485 0.6538773171507621 0.816582366643094 0.23120832223983845 -0.41003657122499826 -0.5196731460355339] [0.9638367363127989 0.03286550966116564 0.8667892452667054 0.33536635791480274 0.5382792239189378 -0.6192841663743984] [-0.5968323327590526 -0.667252826508564 -0.7005537468944154 0.09157291965877268 -0.14303099065287794 0.19253462667427623] [-0.8026128197289166 -0.14336595228987337 -0.9973351428574369 0.161163145298735 0.23411504839284314 -0.19616918347976187] [-0.04764955232719892 -0.5426978990690634 0.7658994440860423 0.08107728719829987 -0.7470521169021236 0.5646210994463989]],[0.9213408458442995 0.8679369725891986 -0.21724429214293206 0.014436530568135764 -0.9271599625956044 -0.3720098197825148],0,-35.08270842565604
35,9.9,77,25,-17,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.5252227739876734 -0.45585421704234697 -0.03531919024973251 0.41291827427257766 -0.09916362200255491 0.9154987318789096] [0.463352156503946 0.03162006019735886 0.30268312172784695 -0.3411853116456691 0.31846814376854726 0.6760236164280842] [-0.9858111136210059 0.7794009754425792 -0.9462194939285014 -0.6860896754811139 -0.20957284442933344 -0.33173036123287325] [-0.02887477399577776 0.41996148974674274 -0.5163516463745075 -0.14021376691679222 0.7272258281984953 -0.6017745759297828] [0.28624637161609034 0.772319481320813 0.1661488189173812 0.28606900990454043 -0.08814131669190517 -0.5036284799397526] [-0.6102594048764534 -0.020963760158897005 0.5066202100937269 0.6515832616960551 0.1211639884935547 0.217408111013367] [-0.3711668294429771 -0.7745767978738578 -0.3901504642331457 -0.21809836163373997 0.4271203507655357 -0.059219025218580024] [-0.21509883178954392 -0.839498665299895 -0.027278951930998163 0.08424463300706941 -0.2584894112928253 -0.08606960775805184] [0.6764162510960345 0.017533812605613708 0.8368815919305916 0.7743908872724652 -0.7517823681016735 0.7886376737813772] [-0.8296336202885477 0.824623492795538 -0.7880983213308457 0.16687075724946432 0.3144580409890503 -0.7451522133351849]],[0.5252227739876734 -0.45585421704234697 -0.03531919024973251 0.41291827427257766 -0.09916362200255491 0.9154987318789096],0,-91.07702557218732
36,9.9,180,-6,-18,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.6207376029161507 0.5380944585977956 0.2951588579186326 0.5078913333926691 -0.8700726667171865 0.09906024493987586] [-0.22411417087693386 0.7170671792157308 0.12916105104277187 0.8330898405470661 -0.04774606071294851 0.723604408925284] [0.23967832923615373 0.26142882591095384 -0.6213609570983534 0.3025890517442651 0.7476777378573789 -0.83978441433856] [0.9163947814190265 -0.09921955991161169 0.280325469879694 0.41950516561444684 0.032481025824402376 -0.35727991558222305] [0.798248613133899 -0.7735215466211498 0.08548250716274985 -0.8058074325859903 0.825703649593651 -0.7631362462890874] [-0.8948598690656662 0.9824924676133349 0.62530407715813 -0.7486140060728754 -0.6663513472311784 0.11317560660929304] [0.5023783878915109 0.5104911236520573 0.9108306320400399 -0.8116148803976135 0.6381039902002781 -0.6371104993064749] [-0.903736867878915 -0.8381628205374863 -0.6971642839388121 -0.3057427435716209 0.8742013245274369 -0.29119755172649486] [0.12148835571880379 -0.936639498267438 -0.6614923030811333 -0.333081755736891 0.23551716323983962 0.7871204710445836] [0.04086814263689509 -0.25259297547081805 -0.041221442065092706 0.18853702775410586 0.2531238335856236 -0.872468876178319]],[-0.22411417087693386 0.7170671792157308 0.12916105104277187 0.8330898405470661 -0.04774606071294851 0.723604408925284],0,-42.94442514300871
37,9.9,338,-19,7,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.23321712886697799 -0.8121944709368045 -0.8828902901441082 0.28735651354098546 0.9003753433211696 -0.05120929647833594] [-0.9357954039002232 0.011442091606119975 -0.8633447864853239 -0.7419230084597337 -0.6934432387909077 0.8388928221687981] [-0.027812980096363127 0.00987860663376905 0.2713648426941888 0.7141570355586457 0.2728241144978294 -0.6684951809524677] [0.1619319883021486 -0.004348831133600406 0.964653908380229 -0.6509265669520108 0.19780942185811967 0.09308486506013658] [-0.23234637557726767 -0.7173746619662442 -0.9584190367616776 -0.6112809489562685 -0.34683783278851976 -0.018757315256618057] [0.16557083081405155 -0.1764143276657506 0.890601204741061 -0.633255585800754 0.5434583863139995 -0.09945059966300795] [0.269997303445348 0.3440952985403847 0.3826934491686298 -0.283758878719943 -0.5661168255354552 -0.7998696458231664] [-0.8095600715542492 -0.6164612497193507 0.43309031053470126 -0.4169069117242654 -0.8615142505977493 -0.5999812879852253] [-0.8815281708015994 -0.4318031274090428 -0.09053366179326017 -0.8454927548736142 -0.10306895928553272 -0.3412067456797283] [0.8662378392591352 -0.44338625165109935 -0.6072491766105848 0.2863374021607359 0.1351890312113455 -0.5250833820398284]],[0.1619319883021486 -0.004348831133600406 0.964653908380229 -0.6509265669520108 0.19780942185811967 0.09308486506013658],0,52.83494945203256
38,9.9,249,-14,-21,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.8447536194840433 -0.9431404285801004 -0.4103083701816306 -0.2357173367707528 0.5333686290894402 0.48850685628840473] [0.7168529105949779 -0.716039064874952 -0.09981529340196693 0.4192990891935948 0.5258729595231768 -0.3805465508260142] [0.6247618334713867 0.12760525682303436 0.6631882730248295 -0.26617359202329105 -0.3137742597550599 -0.7382964510642103] [0.5896931553506195 -0.7230399171603039 -0.9196984858212676 -0.2450100832796931 0.6357652235566913 0.43453583780781635] [0.10205725398217158 0.48334926156808433 0.17996951590788512 0.5314728223875358 0.8231723102640967 -0.8951392921891748] [-0.0715731150651655 0.27855282711750085 0.6368630422087747 -0.31569831814753124 0.8355765058142499 -0.5483653858527524] [-0.3785518289586649 0.4539108947194468 0.192689866378847 0.605993954983755 0.6682601428537329 0.3773758580697322] [-0.8743948257176746 0.958745507109499 0.455785376209505 -0.19397069507589193 0.9800054508039333 -0.09553366384369144] [0.1976368792138956 0.5089374286003894 0.03490021634715035 0.8273448766665146 -0.6621850033542696 0.3269808399818561] [0.8588476163090659 -0.3812025841281419 -0.6946710730902825 0.9850579992353918 0.09439730876751451 -0.7853449538553556]],[0.1976368792138956 0.5089374286003894 0.03490021634715035 0.8273448766665146 -0.6621850033542696 0.3269808399818561],0,46.6345565544439
39,9.9,356,-22,-5,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.41122416037070986 -0.6484315895959105 0.0920259658337621 0.17549465894088878 0.439294902607801 0.9152417365027199] [-0.8169653939891404 -0.11648495381198432 -0.22955963790242162 0.16995877705729856 0.9287894187741526 0.12517868824502787] [0.3827564633076901 0.9774027874869098 0.03380807116236162 -0.17510906788751934 -0.6259492169467582 -0.3670045003751399] [0.2035137326855958 0.4472516968458857 0.7827469421099615 0.15673348763340544 -0.07029394685966461 -0.6404385373121275] [-0.2750627709477407 -0.03452470534103225 -0.8175779990678598 0.3302768691024729 0.857143221642354 0.3342607679941325] [0.10912763053719776 -0.4398481105405374 -0.9163057971718005 -0.2640094038799017 -0.37405151601302866 0.8208468219982614] [-0.23595521759382798 0.4676439567281161 -0.3680535750775782 -0.9036306557135749 0.1714419202528179 0.6168534321061026] [0.6506995327887286 -0.48602059147327736 -0.3722336555106893 -0.589483911175346 -0.04625503427630018 -0.4282037246728718] [0.5680038724184917 -0.5921189516379839 -0.6695332944033698 -0.5041035089716943 0.6726335644660777 -0.08190409851849623] [-0.6431440890301019 0.13148916134405164 -0.7673086343702933 0.422186870940916 0.20255683793300472 -0.727646708323624]],[0.3827564633076901 0.9774027874869098 0.03380807116236162 -0.17510906788751934 -0.6259492169467582 -0.3670045003751399],0,-91.16970987559219
